Date,AAPL,AMZN,GOOG,MSFT
4/28/2014,75.633858,296.579987,514.32196,36.671028
4/29/2014,75.409798,300.380005,524.81427,36.348011
4/30/2014,75.124626,304.130005,523.779968,36.249313
5/1/2014,75.301582,307.890015,528.444336,35.890408
5/2/2014,75.441628,308.01001,525.04303,35.612259
5/5/2014,76.508484,310.049988,524.923706,35.378979
5/6/2014,75.674606,297.380005,512.322998,35.046997
5/7/2014,75.409798,292.709991,507.171295,35.369995
5/8/2014,77.885483,288.320007,508.205627,35.567394
5/9/2014,77.560959,292.23999,515.893311,35.477665
5/12/2014,78.526588,302.859985,527.022156,35.863495
5/13/2014,78.649788,304.640015,530.174805,36.523113
5/14/2014,78.664345,297.619995,523.77002,36.360477
5/15/2014,77.995438,295.190002,517.136536,35.782166
5/16/2014,79.146515,297.700012,517.782959,35.98999
5/19/2014,80.08432,296.76001,525.967957,35.917709
5/20/2014,80.100212,301.190002,526.872986,35.854465
5/21/2014,80.312164,305.01001,535.992798,36.459858
5/22/2014,80.439331,304.910004,542.079346,36.233967
5/23/2014,81.348,312.23999,549.677551,36.252026
5/27/2014,82.871315,310.820007,562.855103,36.315289
5/28/2014,82.656731,310.160004,558.608459,36.152641
5/29/2014,84.162796,313.779999,557.017212,36.450829
5/30/2014,83.847534,312.549988,556.828247,36.992985
6/2/2014,83.271339,308.839996,550.900879,36.857437
6/3/2014,84.448914,307.190002,541.960022,36.405643
6/4/2014,85.413208,306.779999,541.681519,36.432751
6/5/2014,85.748337,323.570007,550.871033,37.236954
6/6/2014,85.512581,329.670013,553.28772,37.480915
6/9/2014,86.880882,327.5,559.046082,37.291168
6/10/2014,87.390854,332.410004,557.484619,37.146595
6/11/2014,87.029251,335.200012,555.783997,36.920696
6/12/2014,85.573494,325.910004,548.334961,36.66769
6/13/2014,84.636986,326.269989,548.742737,37.255024
6/16/2014,85.490044,327.619995,541.30365,37.499001
6/17/2014,85.378777,325.619995,540.040588,37.661636
6/18/2014,85.471512,334.380005,550.343933,37.634537
6/19/2014,85.174797,327,551.86554,37.508026
6/20/2014,84.29393,324.200012,553.317566,37.661636
6/23/2014,84.219749,327.23999,561.860596,37.94175
6/24/2014,83.709801,324.160004,561.53241,37.724888
6/25/2014,83.783936,327.440002,575.485657,37.977894
6/26/2014,84.284676,325.690002,572.850159,37.697784
6/27/2014,85.286057,324.570007,574.083374,38.176682
6/30/2014,86.166939,324.779999,572.134094,37.679714
7/1/2014,86.713982,332.390015,579.483704,37.833321
7/2/2014,86.676888,332.850006,579.150513,37.860432
7/3/2014,87.186874,337.48999,581.53241,37.770069
7/7/2014,88.985687,333.549988,579.065979,37.94175
7/8/2014,88.410805,323.809998,567.967041,37.752003
7/9/2014,88.447891,329.970001,572.929749,37.652596
7/10/2014,88.12336,327.920013,567.976929,37.670673
7/11/2014,88.29026,346.200012,576.012756,38.032112
7/14/2014,89.430748,355.320007,581.671631,38.077286
7/15/2014,88.383003,354.440002,581.582153,38.357403
7/16/2014,87.882294,355.899994,579.473755,39.830257
7/17/2014,86.315277,352.450012,570.59259,40.23687
7/18/2014,87.557755,358.660004,591.825806,40.381443
7/21/2014,87.103439,359.76001,586.246521,40.516979
7/22/2014,87.826653,360.839996,591.487671,40.50795
7/23/2014,90.11689,358.140015,592.720886,40.544083
7/24/2014,89.968544,358.609985,590.105286,40.119408
7/25/2014,90.561958,324.01001,585.79895,40.209763
7/28/2014,91.813713,320.410004,587.3703,39.730862
7/29/2014,91.220299,320,582.407593,39.658573
7/30/2014,91.007019,322.51001,584.207703,39.378464
7/31/2014,88.642609,312.98999,568.474243,38.998959
8/1/2014,89.134033,307.059998,562.974487,38.727879
8/4/2014,88.633331,313.649994,570.015747,39.188713
8/5/2014,88.19754,312.320007,561.979919,38.926659
8/6/2014,88.049202,313.890015,563.276794,38.619446
8/7/2014,88.039871,311.450012,560.279297,39.062206
8/8/2014,88.282135,316.799988,565.659729,39.035099
8/11/2014,89.446953,318.329987,564.774536,39.035099
8/12/2014,89.428314,319.320007,559.65271,39.324257
8/13/2014,90.61174,326.279999,571.636841,39.830257
8/14/2014,90.854004,333.209991,571.507568,40.00193
